,season,hr,cnt
0,Fall,0,13822
1,Fall,1,8132
2,Fall,2,5716
3,Fall,3,2930
4,Fall,4,1541
5,Fall,5,4947
6,Fall,6,18946
7,Fall,7,52000
8,Fall,8,79204
9,Fall,9,47927
10,Fall,10,40405
11,Fall,11,47319
12,Fall,12,56458
13,Fall,13,55656
14,Fall,14,53060
15,Fall,15,54221
16,Fall,16,69516
17,Fall,17,107562
18,Fall,18,102330
19,Fall,19,78383
20,Fall,20,58505
21,Fall,21,45147
22,Fall,22,34416
23,Fall,23,22986
24,Springer,0,4878
25,Springer,1,3229
26,Springer,2,2175
27,Springer,3,1108
28,Springer,4,490
29,Springer,5,1830
30,Springer,6,7261
31,Springer,7,20655
32,Springer,8,42095
33,Springer,9,26316
34,Springer,10,17939
35,Springer,11,21575
36,Springer,12,27131
37,Springer,13,28175
38,Springer,14,26605
39,Springer,15,28018
40,Springer,16,32999
41,Springer,17,47780
42,Springer,18,43110
43,Springer,19,29837
44,Springer,20,21211
45,Springer,21,16497
46,Springer,22,12440
47,Springer,23,7994
48,Summer,0,10459
49,Summer,1,6481
50,Summer,2,4302
51,Summer,3,2084
52,Summer,4,1118
53,Summer,5,3508
54,Summer,6,14549
55,Summer,7,40753
56,Summer,8,69945
57,Summer,9,43053
58,Summer,10,34919
59,Summer,11,42585
60,Summer,12,51252
61,Summer,13,52022
62,Summer,14,48903
63,Summer,15,51382
64,Summer,16,63831
65,Summer,17,95468
66,Summer,18,88904
67,Summer,19,65994
68,Summer,20,47285
69,Summer,21,35246
70,Summer,22,26885
71,Summer,23,17661
72,Winter,0,9971
73,Winter,1,6322
74,Winter,2,4159
75,Winter,3,2052
76,Winter,4,1279
77,Winter,5,3976
78,Winter,6,14376
79,Winter,7,40763
80,Winter,8,69757
81,Winter,9,42142
82,Winter,10,32994
83,Winter,11,39841
84,Winter,12,49573
85,Winter,13,49066
86,Winter,14,47084
87,Winter,15,49528
88,Winter,16,61402
89,Winter,17,86050
90,Winter,18,75428
91,Winter,19,52575
92,Winter,20,37549
93,Winter,21,28555
94,Winter,22,21871
95,Winter,23,15300
