,dteday,cnt
0,2012-09-15,8714
1,2012-09-29,8555
2,2012-09-22,8395
3,2012-03-23,8362
4,2012-05-19,8294
5,2012-09-09,8227
6,2012-07-25,8173
7,2012-09-21,8167
8,2012-10-05,8156
9,2012-06-02,8120
10,2012-10-20,8090
11,2012-09-14,8009
12,2012-10-06,7965
13,2012-09-23,7907
14,2012-09-12,7870
15,2012-08-18,7865
16,2012-10-27,7852
17,2012-03-17,7836
18,2012-09-13,7804
19,2012-09-11,7767
20,2012-08-23,7765
21,2012-06-08,7736
22,2012-09-26,7733
23,2012-09-20,7720
24,2012-08-30,7713
25,2012-06-16,7702
26,2012-08-29,7697
27,2012-10-24,7693
28,2012-10-10,7691
29,2012-06-15,7665
30,2012-06-03,7641
31,2012-05-18,7639
32,2012-08-16,7605
33,2012-07-24,7592
34,2012-09-19,7591
35,2012-08-24,7582
36,2012-08-01,7580
37,2012-10-03,7572
38,2012-10-11,7570
39,2012-09-25,7538
40,2012-10-16,7534
41,2012-08-08,7534
42,2012-09-10,7525
43,2012-10-18,7509
44,2012-09-07,7504
45,2012-07-13,7499
46,2012-06-09,7498
47,2012-06-07,7494
48,2012-10-23,7466
49,2012-10-17,7461
50,2012-04-14,7460
51,2012-06-23,7458
52,2012-07-12,7446
53,2012-10-26,7444
54,2012-06-26,7442
55,2012-09-24,7436
56,2012-05-12,7429
57,2012-05-16,7424
58,2012-06-13,7421
59,2012-09-28,7415
60,2012-07-22,7410
61,2012-07-04,7403
62,2012-09-27,7393
63,2012-05-17,7384
64,2012-08-22,7375
65,2012-06-14,7363
66,2012-10-25,7359
67,2012-08-31,7350
68,2012-08-15,7347
69,2012-05-31,7338
70,2012-06-27,7335
71,2012-09-16,7333
72,2012-10-04,7328
73,2012-04-20,7290
74,2012-08-09,7286
75,2012-10-12,7282
76,2012-08-07,7273
77,2012-07-11,7264
78,2012-08-02,7261
79,2012-07-31,7216
80,2012-08-03,7175
81,2012-08-17,7148
82,2012-04-15,7132
83,2012-05-20,7129
84,2012-09-05,7112
85,2012-10-13,7109
86,2012-07-30,7105
87,2012-10-22,7058
88,2012-06-06,7055
89,2012-08-28,7040
90,2012-05-11,7030
91,2012-08-06,7013
92,2012-08-21,7006
93,2012-06-05,7001
94,2012-06-04,6998
95,2012-06-17,6978
96,2012-07-14,6969
97,2012-07-23,6966
98,2012-08-27,6917
99,2012-07-27,6904
100,2012-06-24,6891
101,2012-09-30,6889
102,2012-08-13,6883
103,2012-05-05,6883
